symbol,avg_daily_volume
AIB,3008016
PLYX,2998326
EVLV,2997073
CTRE,2993374
CPRI,2986995
OPK,2983623
VKTX,2979623
ALHC,2975409
INTR,2975215
CYPH,2973694
CABA,2969789
LKQ,2969298
PUMP,2967352
ALMS,2963269
CWH,2962761
DINO,2960667
BWA,2948762
SFM,2947290
MNTS,2944864
SEE,2939715
COLB,2939245
MRSH,2931669
GETY,2930962
AZN,2929934
BRX,2929242
RC,2928695
JHG,2927640
ADMA,2926633
ARMK,2920736
ENTG,2915826
ARWR,2908810
PEG,2898478
LYV,2897246
FLR,2896324
APPS,2892853
UROY,2892223
VTR,2889576
IMSR,2880115
ITRG,2873822
BIDU,2872655
SAP,2870907
CERT,2867581
ETN,2866809
EXEL,2865668
TAK,2863740
LRHC,2863240
BLMN,2862809
LXRX,2861890
EXAS,2857294
OPTX,2857046
INDO,2854488
LTH,2854238
USFD,2851585
SPOT,2850407
BLNK,2846890
RARE,2843188
BBIO,2841025
PSX,2832286
LION,2824252
AMGN,2819542
LPTH,2813644
APLS,2811915
JEF,2809590
ING,2808047
ALB,2807232
BILL,2806016
SEI,2801687
BHVN,2800689
SAIL,2800142
LULU,2795174
AM,2791885
HIHO,2790347
NVST,2787964
CMPS,2787955
YEXT,2787300
AHR,2783929
ODV,2781375
GEV,2777604
STKL,2777369
BILI,2772346
HOLX,2764503
NCI,2762311
TTEK,2754282
LIDR,2746812
LBTYA,2742196
LOW,2742151
SBRA,2739741
IRT,2738454
PNC,2737914
BRZE,2724100
METC,2723703
DEI,2713927
DV,2710237
JDZG,2709285
ANNX,2707077
RCKT,2706593
BANC,2704650
MUR,2704007
CUK,2703764
BDX,2702985
FBIN,2702075
AEVA,2698643
AESI,2690490
DGXX,2684156
DRCT,2674658
LIN,2674148
KOPN,2673579
DUOL,2672577
FANG,2668498
NVVE,2667075
WOOF,2660401
BOX,2657620
BIRK,2654741
GBDC,2653433
SLI,2650856
EXPE,2648842
MAS,2648574
TRU,2648566
DECK,2646813
VSME,2646228
AMRX,2638443
IVR,2634435
ESI,2633511
TSHA,2631940
FLYX,2617566
SRPT,2614420
SRAD,2613872
ES,2610873
SANA,2607385
REXR,2605250
LMND,2602847
DRH,2602194
TENB,2599402
OVID,2594668
SOBR,2592576
AIRS,2586179
REKR,2585755
HWM,2581874
DAR,2580975
CXM,2580242
TRI,2578885
LNT,2578106
CNK,2573581
ALDX,2572656
BXSL,2571074
SMMT,2564506
SHPH,2562627
ETR,2561195
GITS,2560332
CRMD,2555987
WAY,2555049
EQR,2552149
TIC,2543137
CP,2542338
APG,2542003
SGHC,2541346
TXG,2539825
CLM,2536444
XTIA,2528999
ZS,2526463
MIST,2522780
CAI,2519984
UBS,2518189
HTGC,2515653
BZAI,2514208
CRK,2513515
BXP,2513249
ROST,2513213
MPC,2513043
MCW,2498434
KUST,2496890
LNG,2496663
FND,2493290
TTMI,2488719
MBAI,2485846
BAH,2484302
EA,2481930
SPGI,2480007
CUBE,2470254
WPM,2470183
ARE,2467699
PAVS,2463910
ALGM,2462815
EGO,2462537
NTAP,2458654
JMIA,2456776
WHR,2456422
BCAB,2455635
CLS,2453891
NRG,2453366
ECC,2453109
CE,2448526
RCL,2447471
INDV,2443228
DNUT,2443067
RXO,2442650
RES,2439638
GTES,2438937
ROLR,2434120
NOG,2433799
AMX,2427724
RLX,2425979
TRP,2425871
GS,2421724
STZ,2418505
FSLR,2415582
RNG,2414004
RLAY,2413722
VIK,2410241
INSM,2409822
Q,2409154
WRB,2405516
PBI,2405389
HRB,2400634
DDL,2399794
GTX,2395428
INBS,2395302
GLPI,2391932
FIVN,2391317
OTF,2391121
FUN,2390570
GEO,2389611
WTRG,2389553
DXC,2385148
CDNS,2385105
BRKR,2384748
BTSG,2377341
PCOR,2377308
CENX,2375388
QGEN,2374577
APLE,2374224
ASB,2365974
TWLO,2362914
AJG,2362229
TPH,2359848
TD,2351163
TECH,2345958
MFC,2345609
MNDY,2342846
SHC,2339375
LEVI,2332831
CSAN,2331125
BGC,2330433
FOUR,2329678
ZONE,2323569
SSL,2320540
NNDM,2318688
RMBS,2312494
TPR,2311854
CENN,2311364
BHC,2304979
APTV,2299334
BTQ,2298502
TDUP,2293205
AFL,2292892
BLDR,2290241
PFGC,2289195
BMRN,2287690
WMG,2284316
MGNI,2284170
LEGN,2279574
MLCO,2275018
TMO,2274265
CORT,2272390
ATOM,2272115
BUD,2270765
NFGC,2269851
NVS,2269418
GDS,2264868
OSS,2262344
WGRX,2260670
GOGO,2257557
RYDE,2254554
COST,2254534
ORLA,2253870
NYT,2252683
FBGL,2251732
ODFL,2251513
CRSR,2248990
CHRW,2243584
NVT,2241556
OPTU,2240749
TROW,2240601
PRU,2239489
AMOD,2239454
AUUD,2239079
TSEM,2237222
HIMX,2232329
DYN,2231370
ACRS,2230103
CMPX,2227238
TERN,2222747
FMFC,2219434
WIX,2218305
HUYA,2218141
GNTX,2215715
INLF,2213128
GFAI,2211212
IONS,2210243
WEC,2205104
CDXS,2203236
SMPL,2202899
CLX,2198666
MTG,2198328
LNC,2196003
PEB,2195384
PEGA,2194431
CHRS,2192898
EVRG,2190866
HSBC,2190664
IRDM,2189471
OI,2189217
CME,2188831
SFIX,2185157
PPG,2180302
TALO,2179270
EFC,2178572
VSCO,2178386
SMFG,2175185
CNEY,2174764
DHC,2173369
CGAU,2173230
ACLX,2172643
BGS,2171707
AXIA,2170915
ED,2170072
WM,2168776
CGNX,2161517
ATPC,2161145
STT,2160801
TTWO,2159072
SNPS,2158268
LFST,2158252
ZTO,2157720
OMER,2154754
VET,2153802
DPRO,2151462
YYGH,2150996
MBC,2150623
ADSK,2150458
BAK,2148583
BALL,2147214
VSH,2135028
CBRE,2132206
LC,2131665
ZBH,2130765
NCNO,2128466
CMBT,2126591
NUWE,2119105
GNL,2114811
APRE,2107272
UDMY,2107169
TLIH,2106582
ARIS,2106112
VIPS,2101191
SCCO,2100878
TGTX,2099466
SKYT,2096788
COGT,2094396
VELO,2093510
EKSO,2092047
WWR,2091303
ABUS,2089516
CUZ,2087364
G,2086791
ELF,2086706
ODD,2085154
VERX,2084848
GDDY,2084034
VERI,2083366
VGZ,2080313
NE,2078504
TUYA,2076124
BDMD,2071967
SPHL,2071958
CNM,2070793
COO,2068225
HLX,2067564
CWK,2066364
MDU,2062660
UNIT,2060627
ALKS,2060287
VEEV,2059461
AMTM,2058539
PROP,2057423
ESTC,2054026
NNE,2051444
EBC,2051099
VYX,2050122
FWONK,2050112
WRN,2049624
UGP,2049217
BBVA,2048766
KRMN,2048470
FSCO,2044463
NSA,2043549
YSS,2043172
TOI,2040711
KRC,2035461
XERS,2034747
EXLS,2033657
CCCC,2033501
VITL,2032143
NTCL,2032006
IE,2030953
VLN,2030292
TRMB,2028426
BNS,2024920
OTEX,2024685
VSTS,2023152
ILMN,2022835
HSY,2022632
CYTK,2021148
SEMR,2020274
SJM,2020255
RSI,2019745
RYAN,2019141
HAIN,2018023
CSTM,2017838
HSAI,2014705
TVTX,2012611
FDX,2010933
POLA,2007754
