symbol,avg_daily_volume
FLR,2896324
FLS,1430460
FLUT,3852502
FLY,3891536
FLYW,1594259
FLYX,2617566
FMC,4242819
FMFC,2219434
FNB,6731519
FND,2493290
FNF,1816542
FNKO,1147215
FOLD,7622380
FORM,1391793
FOUR,2329678
FOX,1715950
FOXA,3945522
FPS,4128592
FR,1080579
FRMI,6892715
FRO,3823023
FROG,3222748
FRPT,1357022
FRSH,5748751
FSCO,2044463
FSK,3725690
FSLR,2415582
FSLY,10579707
FSM,7846506
FTAI,1864667
FTI,3797005
FTNT,6658800
FTRE,1672075
FTV,3854158
FUBO,14289367
FULC,1044018
FULT,1962015
FUN,2390570
FUSE,3586607
FUTU,1552398
FVRR,1425043
FWONK,2050112
FWRG,1636440
G,2086791
GAME,1127742
GAP,7812672
GAU,3779441
GBCI,1041876
GBDC,2653433
GBTG,1575698
GCTS,4131887
GD,1369273
GDDY,2084034
GDRX,3130916
GDS,2264868
GDYN,1380258
GE,5409501
GEHC,3400362
GELS,991799
GEMI,1674324
GEN,6696592
GENB,1065993
GENI,6392107
GEO,2389611
GERN,15096303
GETY,2930962
GEV,2777604
GEVO,3218300
GFAI,2211212
GFI,3418087
GFL,1583860
GFS,4096807
GGAL,1177831
GGB,18654649
GGG,973031
GH,1917583
GIL,1305402
GILD,7161019
GILT,987367
GIS,8622974
GITS,2560332
GLBE,1518011
GLDD,1543328
GLDG,4435740
GLNG,1782691
GLOB,1410097
GLPI,2391932
GLUE,1661679
GLW,10424188
GLXY,6304403
GM,8196526
GMAB,1714279
GME,7147555
GMED,1245617
GNL,2114811
GNPX,1019214
GNRC,1122371
GNTA,1041950
GNTX,2215715
GNW,3734851
GO,3351652
GOF,1628584
GOGO,2257557
GOOG,20859335
GOOGL,32622941
GORO,6120414
GOSS,14876257
GP,1525285
GPC,1510595
GPCR,1035908
GPGI,3815431
GPK,7068869
GPN,3747078
GPRE,1501404
GPRO,3745709
GPUS,36962161
GRAB,45760333
GRAL,1266988
GRML,3276890
GRMN,958363
GRND,1487727
GROY,3376426
GRPN,1219435
GS,2421724
GSBD,1596943
GSIT,1618129
GSK,5240604
GSM,1248908
GSUN,1616571
GT,7305795
GTBP,1431496
GTES,2438937
GTLB,5904412
GTLS,1290365
GTM,9471160
GTN,1426489
GTX,2395428
GUTS,5336312
GVH,1580562
GWRE,1646062
GXAI,11547979
GXO,1292912
HAFN,1616581
HAIN,2018023
HAL,14860392
HALO,1871786
HAS,1837567
HASI,1019972
HAYW,1839407
HBAN,33260275
HBM,6111315
HCA,1088038
HCWB,8064727
HCWC,1490162
HD,4194198
HDB,7481650
HE,3215715
HESM,1425006
HIG,1546607
HIHO,2790347
HIMS,32528561
HIMX,2232329
HIVE,10673911
HIW,1410028
HL,24724985
HLF,1734910
HLIT,1082313
HLMN,1617337
HLN,8320732
HLT,1914224
HLX,2067564
HMC,1312229
HMY,5128493
HNGE,1228089
HNST,2001303
HOG,3421880
HOLX,2764503
HOMB,1369001
HON,4276067
HOOD,28048273
HP,1655875
HPE,17094230
HPK,1017686
HPP,1415292
HPQ,18668877
HQY,987308
HR,3527242
HRB,2400634
HRL,4605133
HRTX,1713722
HRZN,1062028
HSAI,2014705
HSBC,2190664
HSIC,1343062
HST,8355684
HSY,2022632
HTFL,1442404
HTGC,2515653
HTHT,1638986
HTZ,5882357
HUBS,1601506
HUM,1935612
HUMA,6803098
HUN,6536416
HURA,1625564
HUT,5060141
HUYA,2218141
HWM,2581874
HXHX,6977510
HXL,1270538
HYLN,1034131
HYMC,5652031
HYT,1207545
IAC,1087743
IAG,8785950
IAUX,12251830
IBIO,1726279
IBKR,4818155
IBM,5808547
IBN,6472617
IBO,4431731
IBRX,36403571
ICE,3704805
ICHR,982469
ICL,1584470
ICLR,1812511
ICON,987332
IE,2030953
IEP,1061462
IFF,1774436
IGR,1070337
IHS,1923924
IKT,1825929
ILMN,2022835
IMAX,1100124
IMMP,1325597
IMNM,1676916
IMRX,1837063
IMSR,2880115
IMTE,1239729
IMUX,3427497
IMVT,1412295
INBS,2395302
INCY,1907259
INDI,4241250
INDO,2854488
INDV,2443228
INFQ,3350119
INFY,18333558
ING,2808047
INLF,2213128
INMD,1094852
INN,1561258
INO,1235826
INOD,1196091
INSM,2409822
INSP,1261203
INTA,1250698
INTC,103868593
INTR,2975215
INTU,3773765
INV,1849261
INVH,6944785
INVZ,3722808
IOBT,9976366
IONQ,20952327
IONS,2210243
IOT,8316931
IOTR,1377915
IOVA,15316165
IP,6670292
IPSC,1874449
IQ,10040920
IQV,1995821
IR,3661352
IRDM,2189471
IREN,37566470
IRM,1879926
IRT,2738454
IRWD,4827509
ISPC,8084606
ISRG,1856621
IT,1558665
ITOC,1308779
ITRG,2873822
ITRM,1083145
ITUB,26211318
ITW,1422100
IVDA,4349123
IVF,7039974
IVR,2634435
IVVD,3113756
IVZ,5635050
JAGX,3778370
JAN,15390447
JANX,1464563
JAZZ,987541
JBHT,1045975
JBI,1450435
JBL,1178556
JBLU,20761967
JBS,4345412
JCI,5139807
JCSE,960066
JD,10048237
JDZG,2709285
JEF,2809590
JELD,1571816
JEM,9987217
JFR,982137
JHG,2927640
JHX,6151632
JKHY,968511
JMIA,2456776
JNJ,8743240
JOB,1623738
JOBY,26413202
JPC,1050580
JPM,10968836
JTAI,39662406
JZXN,3453185
KALA,6831690
KALV,977031
KBH,1149945
KBR,1439010
KC,1495544
KD,5084126
KDP,10432408
KEY,16229173
KEYS,1404365
KGC,11325610
KGS,1520210
KHC,16344956
KIM,5869581
KITT,5115840
KKR,7237665
KLAC,1098867
KLAR,5645830
KLC,1136443
KMB,5763656
KMI,13763504
KMPR,1019826
KMT,1475982
KMX,3401480
KNRX,1694018
KNTK,1319032
KNX,3112749
KO,17954008
KOPN,2673579
KOS,25436557
KR,7020048
KRC,2035461
KREF,1319072
KRG,1882150
KRMN,2048470
KSS,4462641
KT,1824477
KTOS,4181740
KULR,1790271
KURA,1475910
KUST,2496890
KVUE,41207034
KVYO,4172613
KW,1377449
LAB,1903094
LAC,12838289
LAES,8056120
LAR,3155777
LASE,1706820
LASR,1573691
LAUR,1894198
LAZ,1253765
LBGJ,40467682
LBRDK,1257893
LBRT,4175739
LBTYA,2742196
LBTYK,1116730
LC,2131665
LCID,7308816
LCTX,1149092
LDI,3732811
LDOS,1094431
LEG,1554066
LEGN,2279574
LEN,3059931
LENZ,955624
LEU,1113841
LEVI,2332831
LFMD,1240770
LFST,2158252
LGN,1020522
LGO,1610333
LGVN,5372993
LHSW,3379051
LHX,1463091
LI,3872672
LIDR,2746812
LIF,1529890
LILAK,960367
LIMN,8675052
LIN,2674148
LINE,1556315
LION,2824252
LITE,5695498
LKQ,2969298
LLY,3043139
LMND,2602847
LMT,1899360
LNAI,12685927
LNC,2196003
LNG,2496663
LNKS,3396261
LNT,2578106
LNTH,961814
LODE,1873787
LOGI,1224299
LOW,2742151
LPLA,964661
LPTH,2813644
LPX,1071550
LQDA,1846163
LRCX,11779085
LRHC,2863240
LRMR,4087830
LRN,1197586
LSCC,1940799
LTH,2854238
LTM,1392783
LTRX,957462
LU,1443756
LUCD,1278799
LUCY,3165838
LULU,2795174
LUMN,13112632
LUNR,11485664
LUV,10104453
LVS,5390888
LW,3921554
LWLG,3147600
LX,1535737
LXEH,1271468
LXEO,1006166
LXRX,2861890
LXU,958566
LYB,7873470
LYFT,17902941
LYG,16881581
LYV,2897246
LZ,3289265
M,7590643
MA,3771980
MAA,968764
MAC,1911085
MAIA,1044755
MAN,1299556
MAPS,1002138
MAR,1617431
MARA,45014611
MAS,2648574
MASI,1586369
MAT,5035742
MBAI,2485846
MBC,2150623
MBLY,7960351
MBOT,1942698
MC,1208655
MCD,3222093
MCHP,8958389
MCO,1301732
MCW,2498434
MDA,1034131
MDB,1860728
MDCX,3706773
MDLN,5904818
MDLZ,11019172
MDT,8073311
MDU,2062660
MDXG,1026122
MEHA,4413994
MET,3883921
META,14475646
METC,2723703
MFA,1453462
MFC,2345609
MFG,4492328
MFIC,981754
MGA,1878997
MGM,4904970
MGNI,2284170
MGNX,1104594
MGRX,7260278
MGY,3069976
MIAX,1258093
MICC,1406281
MIMI,5717367
MIR,3214994
MIST,2522780
MKC,3837353
MKSI,1462385
MLCO,2275018
MLEC,1356403
MLECW,1700078
MLTX,1923836
MLYS,1237595
MMED,1882672
MMM,4081705
MMYT,1734127
MNDR,1534504
MNDY,2342846
MNKD,5581439
MNST,6104225
MNTS,2944864
MO,10094582
MOBX,65747662
MOD,1358692
MOH,1862854
MOS,8390496
MOVE,991799
MP,7397169
MPC,2513043
MPLX,1651849
MPT,6719235
MQ,3894579
MREO,14696439
MRK,12084325
MRLN,952762
MRNA,11475113
MRNO,4523961
MRP,1422045
MRSH,2931669
MRVI,1331134
MRVL,16168867
MS,7161289
MSAI,1765230
MSFT,33851734
MSI,1151859
MSS,1486291
MSTR,22263719
MT,1841569
MTB,1250304
MTCH,6478895
MTDR,1855963
MTG,2198328
MTH,1010957
MTSI,1332053
MU,36473915
MUFG,3645557
MUR,2704007
MUX,1300037
MVIS,5469486
MVST,4226706
MWA,1097843
MWH,1046552
MXCT,1051644
MXL,1117162
MYGN,1852259
NABL,1559969
NAGE,1210943
NAK,10674442
NAKA,5846239
NAMM,9611001
NAT,4212457
NAVI,1049061
NAVN,1727475
NB,5308239
NBIS,14321654
NBIX,1131446
NCI,2762311
NCL,14860462
NCLH,20858771
NCNO,2128466
NDAQ,4477279
NE,2078504
NEE,9702101
NEM,10199590
NEO,1907620
NEOG,3424683
NESR,1729579
NET,4363342
NEWP,1088103
NEXT,3787490
NFE,13692860
NFGC,2269851
NFLX,48146850
NG,4035468
NGG,1072987
NI,3915572
NIO,46892143
NIQ,1277168
NKE,17026010
NKTR,1084996
NLY,8573709
NMFC,1228617
NMR,1675658
NMRA,1621192
NMRK,1434227
NN,1239316
NNDM,2318688
NNE,2051444
NNN,1457738
NNOX,1051284
NOC,954124
NOG,2433799
NOK,42109844
NOMD,1866300
NOV,4745418
NOW,17930490
NPT,957887
NRDS,1008112
NRG,2453366
NRGV,3744424
NRIX,1182332
NRXP,987084
NSA,2043549
NSC,1197899
NSP,1198381
NTAP,2458654
NTCL,2032006
NTLA,4737405
NTNX,4864066
NTR,3422008
NTRA,1194315
NTRS,1097108
NTSK,3482436
NTST,1493254
NU,51865434
NUAI,5571833
NUE,1677156
NUVB,5558170
NUWE,2119105
NVAX,5045172
NVCR,1877591
NVDA,175234576
NVO,24815451
NVRI,1414145
NVS,2269418
NVST,2787964
NVT,2241556
NVTS,22338770
NVVE,2667075
NVX,1008649
NWBI,1268770
NWG,3646855
NWL,6029834
NWS,1321519
NWSA,3837991
NXDR,4136422
NXE,9304684
NXPI,2814269
NXPL,1318913
NXT,1937263
NXXT,1850829
NYT,2252683
O,6615434
OBAI,2000259
OBDC,6190029
OC,1449575
OCG,2004102
OCGN,7480293
OCUL,6085653
ODD,2085154
ODFL,2251513
ODV,2781375
OGE,1603504
OGN,4922128
OHI,1944921
OI,2189217
OII,1237406
OIS,1120818
OKE,4960198
OKLO,10429747
OKTA,3076597
OLB,8831131
OLLI,1177456
OLMA,1795501
OLN,3118626
OLOX,1490233
OLPX,1903377
OMC,4882676
OMDA,1429248
OMER,2154754
OMF,1567183
ON,8485703
ONB,3125815
ONCY,1306998
ONDS,95094227
ONMD,4032627
ONON,5156867
OPAD,3733388
OPCH,1814781
OPEN,51615112
OPK,2983623
